Symbol,group
Gadd45,EuRBP
Dhx15,EuRBP
CG11123,EuRBP
mEFTu2,EuRBP
Nop17l,EuRBP
CG8728,EuRBP
ACC,EuRBP
CG12769,EuRBP
Nup50,EuRBP
Gle1,EuRBP
CG8635,EuRBP
AIMP1,EuRBP
PAN2,EuRBP
tsu,EuRBP
Phax,EuRBP
Lsm11,EuRBP
Marc,EuRBP
CG1671,EuRBP
CG12128,EuRBP
CG12129,EuRBP
mRpL42,EuRBP
RpLP0-like,EuRBP
CG12917,EuRBP
CG18011,EuRBP
trsn,EuRBP
CG7637,EuRBP
Lsm10,EuRBP
RpS15Ab,EuRBP
CG12343,EuRBP
CG12325,EuRBP
CG12942,EuRBP
Rpb5,EuRBP
CG7741,EuRBP
tou,EuRBP
Prp8,EuRBP
EndoG,EuRBP
RpS11,EuRBP
CG8545,EuRBP
muskelin,EuRBP
CG4679,EuRBP
cbc,EuRBP
Echs1,EuRBP
CG16935,EuRBP
CG6701,EuRBP
CG8067,EuRBP
CysRS-m,EuRBP
eIF3m,EuRBP
ReepB,EuRBP
mRpS16,EuRBP
RpS23,EuRBP
tej,EuRBP
Arc1,EuRBP
CG17385,EuRBP
Achl,EuRBP
CG8089,EuRBP
CG7544,EuRBP
mRpL41,EuRBP
CG8079,EuRBP
CG8152,EuRBP
Rrp42,EuRBP
CG8441,EuRBP
clu,EuRBP
mrj,EuRBP
krimp,EuRBP
RpS15,EuRBP
AsnRS-m,EuRBP
CG6805,EuRBP
CG8963,EuRBP
CG6967,EuRBP
CG10950,EuRBP
CG4866,EuRBP
eIF3b,EuRBP
Ns2,EuRBP
Dcr-2,EuRBP
eIF3c,EuRBP
CG10931,EuRBP
OstDelta,EuRBP
CG10914,EuRBP
CG5726,EuRBP
CG5174,EuRBP
rswl,EuRBP
mRpS28,EuRBP
Atg7,EuRBP
CG15093,EuRBP
MetRS,EuRBP
CG7137,EuRBP
CG7461,EuRBP
Arl6,EuRBP
CG9143,EuRBP
CG18067,EuRBP
CG11180,EuRBP
CG9344,EuRBP
CG9346,EuRBP
mRpL54,EuRBP
CG4266,EuRBP
eEFSec,EuRBP
CG10321,EuRBP
Rae1,EuRBP
eIF3k,EuRBP
CG4021,EuRBP
Synj,EuRBP
CG3045,EuRBP
mRpS29,EuRBP
CG10384,EuRBP
CG4554,EuRBP
CG4610,EuRBP
CG3927,EuRBP
nsr,EuRBP
CG4294,EuRBP
RpS16,EuRBP
CG17807,EuRBP
CG3732,EuRBP
RYBP,EuRBP
CNBP,EuRBP
RpL37b,EuRBP
LS2,EuRBP
RpL22-like,EuRBP
eIF2Bdelta,EuRBP
Rrp4,EuRBP
mRpL43,EuRBP
Pym,EuRBP
DCP1,EuRBP
Upf3,EuRBP
Not11,EuRBP
RpL12,EuRBP
CG4049,EuRBP
mRpS17,EuRBP
CG4612,EuRBP
CG4622,EuRBP
CG11414,EuRBP
Pof,EuRBP
CG3594,EuRBP
TyrRS-m,EuRBP
thoc7,EuRBP
Dis3l2,EuRBP
Tudor-SN,EuRBP
mRpL17,EuRBP
CG1231,EuRBP
RabX6,EuRBP
Sf3b3,EuRBP
CG9149,EuRBP
CG7879,EuRBP
metl,EuRBP
CG7971,EuRBP
RabX5,EuRBP
CG2021,EuRBP
mRpL46,EuRBP
CG13807,EuRBP
yellow-g2,EuRBP
CG8993,EuRBP
mRpL23,EuRBP
CG9004,EuRBP
mRpS35,EuRBP
CPT2,EuRBP
CG2162,EuRBP
Usp5,EuRBP
CG14966,EuRBP
nSMase,EuRBP
RpL28,EuRBP
eIF1,EuRBP
Larp4B,EuRBP
CG12605,EuRBP
CG14985,EuRBP
CG11586,EuRBP
CG11583,EuRBP
CG1316,EuRBP
CG15014,EuRBP
mRpS6,EuRBP
CG11342,EuRBP
Prpk,EuRBP
CG4611,EuRBP
Blimp-1,EuRBP
lin-28,EuRBP
CG10576,EuRBP
CG6610,EuRBP
Sf3b6,EuRBP
CG8219,EuRBP
FBgn0035707,EuRBP
eIF4E4,EuRBP
CG8519,EuRBP
CG8549,EuRBP
CG10077,EuRBP
RpL18,EuRBP
Sec63,EuRBP
Mcad,EuRBP
eIF4E5,EuRBP
Srp9,EuRBP
CG8038,EuRBP
ldbr,EuRBP
Arl5,EuRBP
Cpsf6,EuRBP
Pus7,EuRBP
CG6638,EuRBP
ValRS-m,EuRBP
Srp68,EuRBP
UGP,EuRBP
mRRF1,EuRBP
Cpsf5,EuRBP
CG3434,EuRBP
CG3335,EuRBP
CG18178,EuRBP
Hez,EuRBP
CG6418,EuRBP
CG7839,EuRBP
mRpL2,EuRBP
Ufd1-like,EuRBP
Plod,EuRBP
CG11726,EuRBP
RIOK1,EuRBP
CG7339,EuRBP
RpL10Ab,EuRBP
Pop2,EuRBP
eIF3l,EuRBP
CG5626,EuRBP
INPP5E,EuRBP
CG10418,EuRBP
CG10638,EuRBP
Sf3a2,EuRBP
CG10948,EuRBP
CG14120,EuRBP
CG14118,EuRBP
mRpL20,EuRBP
SRm160,EuRBP
CG8833,EuRBP
CG6833,EuRBP
Tdrd3,EuRBP
CG9425,EuRBP
mRpL39,EuRBP
Msh6,EuRBP
Prp31,EuRBP
CG7804,EuRBP
CG7275,EuRBP
CG7945,EuRBP
CG12301,EuRBP
CG7372,EuRBP
DCP2,EuRBP
CG18081,EuRBP
mRpS31,EuRBP
IleRS-m,EuRBP
IntS9,EuRBP
roq,EuRBP
GluRS-m,EuRBP
nxf2,EuRBP
